SURF96 R C T   0      5.0000     2.8997     0.0000
SURF96 R C T   0      6.0000     2.9440     0.0000
SURF96 R C T   0      7.0000     2.9697     0.0000
SURF96 R C T   0      8.0000     2.9857     0.0000
SURF96 R C T   0      9.0000     2.9972     0.0000
SURF96 R C T   0     10.0000     3.0065     0.0000
SURF96 R C T   0     11.0000     3.0149     0.0000
SURF96 R C T   0     12.0000     3.0228     0.0000
SURF96 R C T   0     13.0000     3.0305     0.0000
SURF96 R C T   0     14.0000     3.0382     0.0000
SURF96 R C T   0     15.0000     3.0459     0.0000
SURF96 R C T   0     16.0000     3.0539     0.0000
SURF96 R C T   0     17.0000     3.0621     0.0000
SURF96 R C T   0     18.0000     3.0707     0.0000
SURF96 R C T   0     19.0000     3.0797     0.0000
SURF96 R C T   0     20.0000     3.0892     0.0000
SURF96 R C T   0     22.0000     3.1098     0.0000
SURF96 R C T   0     24.0000     3.1329     0.0000
SURF96 R C T   0     26.0000     3.1585     0.0000
SURF96 R C T   0     28.0000     3.1865     0.0000
SURF96 R C T   0     30.0000     3.2165     0.0000
SURF96 R C T   0     32.0000     3.2482     0.0000
SURF96 R C T   0     34.0000     3.2811     0.0000
SURF96 R C T   0     36.0000     3.3147     0.0000
SURF96 R C T   0     38.0000     3.3485     0.0000
SURF96 R C T   0     40.0000     3.3822     0.0000
SURF96 R C T   0     45.0000     3.4642     0.0000
SURF96 R C T   0     50.0000     3.5414     0.0000
SURF96 R C T   0     55.0000     3.6132     0.0000
SURF96 R C T   0     60.0000     3.6795     0.0000
SURF96 R C T   0     65.0000     3.7399     0.0000
SURF96 R C T   0     70.0000     3.7945     0.0000
SURF96 R C T   0     75.0000     3.8429     0.0000
SURF96 R C T   0     80.0000     3.8854     0.0000
SURF96 R C T   0     85.0000     3.9224     0.0000
SURF96 R C T   0     90.0000     3.9544     0.0000
SURF96 R C T   0     95.0000     3.9820     0.0000
SURF96 R U T   0      5.0000     2.6386     0.0000
SURF96 R U T   0      6.0000     2.7576     0.0000
SURF96 R U T   0      7.0000     2.8376     0.0000
SURF96 R U T   0      8.0000     2.8839     0.0000
SURF96 R U T   0      9.0000     2.9089     0.0000
SURF96 R U T   0     10.0000     2.9219     0.0000
SURF96 R U T   0     11.0000     2.9287     0.0000
SURF96 R U T   0     12.0000     2.9322     0.0000
SURF96 R U T   0     13.0000     2.9337     0.0000
SURF96 R U T   0     14.0000     2.9338     0.0000
SURF96 R U T   0     15.0000     2.9326     0.0000
SURF96 R U T   0     16.0000     2.9300     0.0000
SURF96 R U T   0     17.0000     2.9260     0.0000
SURF96 R U T   0     18.0000     2.9205     0.0000
SURF96 R U T   0     19.0000     2.9137     0.0000
SURF96 R U T   0     20.0000     2.9057     0.0000
SURF96 R U T   0     22.0000     2.8867     0.0000
SURF96 R U T   0     24.0000     2.8656     0.0000
SURF96 R U T   0     26.0000     2.8445     0.0000
SURF96 R U T   0     28.0000     2.8256     0.0000
SURF96 R U T   0     30.0000     2.8109     0.0000
SURF96 R U T   0     32.0000     2.8015     0.0000
SURF96 R U T   0     34.0000     2.7983     0.0000
SURF96 R U T   0     36.0000     2.8012     0.0000
SURF96 R U T   0     38.0000     2.8096     0.0000
SURF96 R U T   0     40.0000     2.8227     0.0000
SURF96 R U T   0     45.0000     2.8692     0.0000
SURF96 R U T   0     50.0000     2.9254     0.0000
SURF96 R U T   0     55.0000     2.9855     0.0000
SURF96 R U T   0     60.0000     3.0490     0.0000
SURF96 R U T   0     65.0000     3.1167     0.0000
SURF96 R U T   0     70.0000     3.1888     0.0000
SURF96 R U T   0     75.0000     3.2639     0.0000
SURF96 R U T   0     80.0000     3.3397     0.0000
SURF96 R U T   0     85.0000     3.4138     0.0000
SURF96 R U T   0     90.0000     3.4840     0.0000
SURF96 R U T   0     95.0000     3.5491     0.0000
